Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
1,0.13470172882080078,16,0
2,0.11933565139770508,11,0
3,0.1130514144897461,3,0
4,0.11367201805114746,2,0
5,0.10545563697814941,9,0
6,0.09995746612548828,9,0
7,0.09525847434997559,12,0
8,0.09077334403991699,10,0
9,0.09188342094421387,8,0
10,0.08109617233276367,23,0
11,0.0868840217590332,11,0
12,0.07208991050720215,9,0
13,0.06882309913635254,11,0
14,0.06694388389587402,11,0
15,0.06533217430114746,7,0
16,0.06503629684448242,10,0
17,0.06330180168151855,9,0
18,0.0634307861328125,7,0
19,0.06425094604492188,8,0
20,0.06067919731140137,9,0
21,0.058881521224975586,17,0
22,0.05745196342468262,15,0
23,0.05612039566040039,14,0
24,0.055440664291381836,15,0
25,0.05456733703613281,16,0
26,0.055110931396484375,15,0
27,0.05239510536193848,8,0
28,0.061586618423461914,23,0
29,0.050267696380615234,19,0
30,0.04934096336364746,17,0
31,0.05342459678649902,26,0
32,0.047930002212524414,22,0
33,0.046860694885253906,23,0
34,0.04692840576171875,43,0
35,0.04604172706604004,34,0
36,0.04556870460510254,30,0
37,0.0447840690612793,29,0
38,0.04452824592590332,26,0
39,0.042931318283081055,21,0
40,0.04174399375915527,24,0
41,0.04116415977478027,30,0
42,0.04147934913635254,29,0
43,0.040143489837646484,21,0
44,0.039259910583496094,16,0
45,0.038474321365356445,20,0
46,0.03788137435913086,23,0
47,0.03725123405456543,27,0
48,0.03700876235961914,29,0
49,0.035607099533081055,32,0
50,0.03493690490722656,26,0
51,0.03465557098388672,24,0
52,0.033898115158081055,30,0
53,0.03387904167175293,27,0
54,0.03218650817871094,35,0
55,0.03171730041503906,36,0
56,0.031025409698486328,29,0
57,0.030632972717285156,32,0
58,0.030097484588623047,27,0
59,0.0299680233001709,23,0
60,0.03049325942993164,21,0
61,0.029891490936279297,19,0
62,0.03103160858154297,26,0
63,0.029248714447021484,29,0
64,0.029406309127807617,31,0
65,0.027821063995361328,29,0
66,0.026866674423217773,31,0
67,0.026609420776367188,26,0
68,0.025345325469970703,22,0
69,0.024693965911865234,24,0
70,0.03305649757385254,20,0
71,0.023274898529052734,19,0
72,0.022063016891479492,48,0
73,0.021265745162963867,47,0
74,0.021020174026489258,46,0
75,0.02109694480895996,45,0
76,0.019624948501586914,46,0
77,0.019574403762817383,46,0
78,0.0188143253326416,48,0
79,0.019569873809814453,50,0
80,0.019051551818847656,49,0
81,0.018998384475708008,45,0
82,0.018070459365844727,49,0
83,0.017327070236206055,48,0
84,0.017197608947753906,50,0
85,0.01704263687133789,49,0
86,0.016312360763549805,45,0
87,0.01566481590270996,49,0
88,0.01508951187133789,48,0
89,0.014737606048583984,46,0
90,0.014192819595336914,46,0
91,0.014059782028198242,44,0
92,0.014142751693725586,50,0
93,0.012839794158935547,47,0
94,0.012277364730834961,55,0
95,0.0118560791015625,53,0
96,0.011626005172729492,54,0
97,0.011083126068115234,54,0
98,0.010686159133911133,54,0
99,0.010467529296875,77,0
100,0.010044097900390625,77,0
101,0.010124683380126953,77,0
102,0.009637594223022461,75,0
103,0.00931406021118164,80,0
104,0.00900721549987793,77,0
105,0.008910417556762695,76,0
106,0.00839996337890625,76,0
107,0.008265495300292969,79,0
108,0.008065223693847656,78,0
109,0.0076334476470947266,88,0
110,0.007306814193725586,97,0
111,0.007032632827758789,120,0
112,0.006784677505493164,119,0
113,0.006646394729614258,124,0
114,0.006316184997558594,126,0
115,0.006022930145263672,130,0
116,0.005733966827392578,133,0
117,0.00587010383605957,133,0
118,0.005713224411010742,146,0
119,0.0056552886962890625,144,0
120,0.005322456359863281,148,0
121,0.005043983459472656,155,0
122,0.0047533512115478516,163,0
123,0.004496097564697266,173,0
124,0.004221439361572266,173,0
125,0.004091024398803711,175,0
126,0.0036492347717285156,173,0
127,0.0034830570220947266,186,0
